CNUC,TIPO_NOME,NOME_UC,TIPO,Bioma_predominante,UF,Area_queimada,Perc_UC,ano
0000.00.0023,APA DO PLANALTO CENTRAL,AREA DE PROTECAO AMBIENTAL DO PLANALTO CENTRAL,APA,CERRADO,GO;DF,9518.009136,1.96,2023
0000.00.0268,APA DO TAPAJOS,AREA DE PROTECAO AMBIENTAL DO TAPAJOS,APA,AMAZONIA,PA,1049.666285,0.05,2023
0000.00.0024,APA MEANDROS DO RIO ARAGUAIA,AREA DE PROTECAO AMBIENTAL DOS MEANDROS DO RIO ARAGUAIA,APA,CERRADO,MT;GO,59709.49648,16.62,2023
0000.00.0027,APA MORRO DA PEDREIRA,AREA DE PROTECAO AMBIENTAL MORRO DA PEDREIRA,APA,CERRADO,MG,250.8314845,0.25,2023
0000.00.0029,APA SERRA DA IBIAPABA,AREA DE PROTECAO AMBIENTAL SERRA DA IBIAPABA,APA,CAATINGA,PI;CE,10968.43504,0.68,2023
0000.00.0044,ARIE SERINGAL NOVA ESPERANCA,AREA DE RELEVANTE INTERESSE ECOLOGICO SERINGAL NOVA ESPERANCA,ARIE,AMAZONIA,AC,1.293673131,0.05,2023
0000.00.0045,ARIE SERRA DA ABELHA/RIO DA PRATA,AREA DE RELEVANTE INTERESSE ECOLOGICO SERRA DA ABELHA,ARIE,MATA ATLANTICA,SC,1.974132055,0.04,2023
0000.00.0075,ESEC DA SERRA DAS ARARAS,ESTACAO ECOLOGICA DA SERRA DAS ARARAS,ESEC,CERRADO,MT,1688.522689,6.22,2023
0000.00.0047,ESEC DA TERRA DO MEIO,ESTACAO ECOLOGICA DA TERRA DO MEIO,ESEC,AMAZONIA,PA,355.1575037,0.01,2023
0000.00.0048,ESEC DE AIUABA,ESTACAO ECOLOGICA DE AIUABA,ESEC,CAATINGA,CE,60.14277737,0.51,2023
0000.00.0053,ESEC DE CUNIA,ESTACAO ECOLOGICA DE CUNIA,ESEC,AMAZONIA,RO;AM,1043.962338,0.57,2023
0000.00.0065,ESEC DE URUCUI-UNA,ESTACAO ECOLOGICA DE URUCUI-UNA,ESEC,CERRADO,PI,40073.58193,29.66,2023
0000.00.0066,ESEC DO CASTANHAO,ESTACAO ECOLOGICA DO CASTANHAO,ESEC,CAATINGA,CE,5.099136617,0.04,2023
0000.00.0060,ESEC NIQUIA,ESTACAO ECOLOGICA NIQUIA,ESEC,AMAZONIA,RR,5454.284986,1.78,2023
